lambda,Trans5mm,Alpha
767.6056338,0.760169492,54.84277108
769.0140845,0.787288136,47.83219573
770.4225352,0.808474576,42.5212092
771.8309859,0.827118644,37.96142621
773.2394366,0.840677966,34.70932203
774.6478873,0.850847458,32.30448344
776.056338,0.858474576,30.51964264
777.4647887,0.863559322,29.33853685
778.8732394,0.865254237,28.94637986
780.2816901,0.865254237,28.94637986
781.6901408,0.859322034,30.32230666
783.0985915,0.847457627,33.1028877
784.5070423,0.830508475,37.14342916
785.915493,0.801694915,44.20542968
787.3239437,0.768644068,52.62545347
788.7323944,0.730508475,62.80288936
790.1408451,0.692372881,73.52612452
791.5492958,0.651694915,85.63574959
792.9577465,0.598305085,102.730896
794.3661972,0.534745763,125.192771
795.7746479,0.455932203,157.0822315
797.1830986,0.360169492,204.2361097
798.5915493,0.277966102,256.0512218
800,0.203389831,318.5261588
801.4084507,0.146610169,383.9956246
802.8169014,0.108474576,444.2478907
804.2253521,0.075423729,516.9266695
805.6338028,0.058474576,567.8326426
807.0422535,0.069491525,533.310094
808.4507042,0.096610169,467.4142538
809.8591549,0.140677966,392.2563858
811.2676056,0.195762712,326.1704014
812.6760563,0.260169492,269.284394
814.084507,0.327966102,222.9690049
815.4929577,0.392372881,187.1085327
816.9014085,0.449152542,160.0785422
818.3098592,0.490677966,142.393448
819.7183099,0.526271186,128.3877271
821.1267606,0.563559322,114.6965354
822.5352113,0.599152542,102.4478103
823.943662,0.633050847,91.44090647
825.3521127,0.675423729,78.48300773
826.7605634,0.712711864,67.7356115
828.1690141,0.747457627,58.21553229
829.5774648,0.780508475,49.56193624
830.9859155,0.808474576,42.5212092
832.3943662,0.828813559,37.55200948
833.8028169,0.846610169,33.30298776
835.2112676,0.860169492,30.1251652
836.6197183,0.869491525,27.96933835
838.028169,0.877118644,26.22260235
839.4366197,0.88220339,25.06652977
840.8450704,0.88559322,24.29951061
842.2535211,0.888135593,23.72617052
843.6619718,0.888983051,23.53542181
845.0704225,0.888983051,23.53542181
846.4788732,0.888983051,23.53542181
847.8873239,0.888135593,23.72617052
849.2957746,0.88559322,24.29951061
850.7042254,0.884745763,24.4909898
852.1126761,0.883898305,24.68265249
853.5211268,0.88220339,25.06652977
854.9295775,0.878813559,25.83650185
856.3380282,0.870338983,27.77450151
857.7464789,0.861864407,29.73146428
859.1549296,0.851694915,32.10537939
860.5633803,0.834745763,36.12561526
861.971831,0.811016949,41.8932652
863.3802817,0.776271186,50.65067056
864.7887324,0.731355932,62.57100528
866.1971831,0.672881356,79.23725124
867.6056338,0.617103236,96.54379004
869.0140845,0.570338983,112.3048776
870.4225352,0.541525424,122.6730526
871.8309859,0.538983051,123.6142308
873.2394366,0.541525424,122.6730526
874.6478873,0.53559322,124.8760647
876.056338,0.512512463,133.6860502
877.4647887,0.500847458,138.29074
878.8732394,0.500847458,138.29074
880.2816901,0.522033898,130.0045508
881.6901408,0.555932203,117.4217857
883.0985915,0.596610169,103.2982723
884.5070423,0.627118644,93.32390625
885.915493,0.653389831,85.11626878
887.3239437,0.677118644,77.98175434
888.7323944,0.687288136,75.00033267
890.1408451,0.701694915,70.85131261
891.5492958,0.710169492,68.4503234
892.9577465,0.720338983,65.6066736
894.3661972,0.736440678,61.18531844
895.7746479,0.744067797,59.12462476
897.1830986,0.755084746,56.185058
898.5915493,0.768644068,52.62545347
900,0.783050847,48.91152916
901.4084507,0.789830508,47.18738055
902.8169014,0.806779661,42.94093653
904.2253521,0.816101695,40.64326113
905.6338028,0.831355932,36.93945158
907.0422535,0.841525424,34.50781068
908.4507042,0.847457627,33.1028877
909.8591549,0.857627119,30.71717352
911.2676056,0.860169492,30.1251652
912.6760563,0.866949153,28.5549903
914.084507,0.869491525,27.96933835
915.4929577,0.872881356,27.19112725
916.9014085,0.877966102,26.02945893
918.3098592,0.883898305,24.68265249
919.7183099,0.886440678,24.10821457
921.1267606,0.888983051,23.53542181
922.5352113,0.888983051,23.53542181
923.943662,0.890677966,23.15446932
925.3521127,0.890677966,23.15446932
926.7605634,0.890677966,23.15446932
928.1690141,0.889830508,23.34485486
929.5774648,0.890677966,23.15446932
930.9859155,0.890677966,23.15446932
932.3943662,0.894067797,22.39473431
933.8028169,0.894067797,22.39473431
935.2112676,0.893220339,22.58439767
936.6197183,0.892372881,22.77424107
938.028169,0.892372881,22.77424107
939.4366197,0.894067797,22.39473431
940.8450704,0.894067797,22.39473431
942.2535211,0.894067797,22.39473431
943.6619718,0.894067797,22.39473431
945.0704225,0.894067797,22.39473431
946.4788732,0.894067797,22.39473431
947.8873239,0.895762712,22.01594632
949.2957746,0.895762712,22.01594632
950.7042254,0.894067797,22.39473431
952.1126761,0.894067797,22.39473431
953.5211268,0.892372881,22.77424107
954.9295775,0.893220339,22.58439767
956.3380282,0.894067797,22.39473431
957.7464789,0.894067797,22.39473431
959.1549296,0.894067797,22.39473431
960.5633803,0.892372881,22.77424107
961.971831,0.892372881,22.77424107
963.3802817,0.892372881,22.77424107
964.7887324,0.892372881,22.77424107
966.1971831,0.892372881,22.77424107
967.6056338,0.892372881,22.77424107
969.0140845,0.892372881,22.77424107
970.4225352,0.892372881,22.77424107
971.8309859,0.892372881,22.77424107
973.2394366,0.892372881,22.77424107
974.6478873,0.892372881,22.77424107
976.056338,0.892372881,22.77424107
977.4647887,0.892372881,22.77424107
978.8732394,0.892372881,22.77424107
980.2816901,0.892372881,22.77424107
981.6901408,0.892372881,22.77424107
983.0985915,0.892372881,22.77424107
984.5070423,0.892372881,22.77424107
985.915493,0.894067797,22.39473431
987.3239437,0.894067797,22.39473431
988.7323944,0.895762712,22.01594632
990.1408451,0.895762712,22.01594632
991.5492958,0.895762712,22.01594632
992.9577465,0.895762712,22.01594632
994.3661972,0.895762712,22.01594632
995.7746479,0.895762712,22.01594632
997.1830986,0.895762712,22.01594632
998.5915493,0.894067797,22.39473431
1000,0.894067797,22.39473431
1001.408451,0.893220339,22.58439767
1002.816901,0.894067797,22.39473431
1004.225352,0.894067797,22.39473431
1005.633803,0.895762712,22.01594632
1007.042254,0.895762712,22.01594632
